rank	v1	v2	entrez	symbol
1	y	y	57124	CD248
2	y	y	54674	LRRN3
3	y	y	4753	NELL2
4	y	y	51176	LEF1
5	y	y	1236	CCR7
6	y	y	3983	ABLIM1
7	y	y	2999	GZMH
8	y	y	4609	MYC
9	y	y	939	CD27
10	y	y	399665	FAM102A
11	y	y	5270	SERPINE2
12	y	y	117247	SLC16A10
13	y	y	8857	FCGBP
14	y	y	9289	GPR56
15	y	y	60468	BACH2
16	y	y	23208	SYT11
17	y	y	5152	PDE9A
18	y	y	9241	NOG
19	y	y	2317	FLNB
20	y	y	4907	NT5E
21	y	y	83888	FGFBP2
22	y	y	7049	TGFBR3
23	y	y	81618	ITM2C
24	y	y	80063	ATF7IP2
25	y	y	1380	CR2
26	y	y	9214	FAIM3
27	y	y	26227	PHGDH
28	y	y	3945	LDHB
29	y	y	55423	SIRPG
30	y	y	343413	FCRL6
31	y	y	5150	PDE7A
32	y	y	51070	NOSIP
33	y	y	10606	PAICS
34	y	y	28969	BZW2
35	y	y	92106	OXNAD1
36	y	y	1524	CX3CR1
37	y	y	6322	SCML1
38	y	y	6146	RPL22
39	y	y	26119	LDLRAP1
40	y	y	389	RHOC
41	y	y	4050	LTB
42	y	y	54463	FAM134B
43	y	y	81606	LBH
44	y	y	11098	PRSS23
45	y	y	203328	SUSD3
46	y	y	113791	PIK3IP1
47	y	y	4240	MFGE8
48	y	y	79814	AGMAT
49	y	y	4818	NKG7
50	y	y	5521	PPP2R2B
51	y	y	3002	GZMB
52	y	y	9057	SLC7A6
53	y	y	55020	TTC38
54	y	y	3615	IMPDH2
55	y	y	10750	GRAP
56	y	y	4925	NUCB2
57	y	y	2091	FBL
58	y	y	79899	PRR5L
59	y	y	6304	SATB1
60	y	y	3575	IL7R
61	y	y	65982	ZSCAN18
62	y	y	154	ADRB2
63	y	y	3820	KLRB1
64	y	y	3326	HSP90AB1
65	y	y	29802	VPREB3
66	y	y	6932	TCF7
67	y	y	114879	OSBPL5
68	y	y	3512	IGJ
69	y	y	81563	C1orf21
70	y	y	64919	BCL11B
71	y	y	9397	NMT2
72	y	y	8718	TNFRSF25
73	y	y	5796	PTPRK
74	y	y	121551	BTBD11
