genes	entrez	symbol
ENSG00000091129	4897	NRCAM
ENSG00000174807	57124	CD248
ENSG00000158966	57685	CACHD1
ENSG00000169855	6091	ROBO1
ENSG00000163520	2199	FBLN2
ENSG00000146674	3486	IGFBP3
ENSG00000160191	5152	PDE9A
ENSG00000272168	105374971	LOC105374971
ENSG00000174482	158038	LINGO2
ENSG00000155366	389	RHOC
ENSG00000140859	3801	KIFC3
ENSG00000198947	1756	DMD
ENSG00000203747	2214	FCGR3A
ENSG00000180611	151963	MB21D2
ENSG00000100453	3002	GZMB
ENSG00000277586	4747	NEFL
ENSG00000235978	124906209	LOC124906209
ENSG00000156453	5097	PCDH1
ENSG00000128656	1123	CHN1
ENSG00000186462	4674	NAP1L2
ENSG00000137441	83888	FGFBP2
ENSG00000180071	253650	ANKRD18A
ENSG00000162383	6512	SLC1A7
ENSG00000158813	1896	EDA
ENSG00000101230	140862	ISM1
ENSG00000149294	4684	NCAM1
ENSG00000173114	54674	LRRN3
ENSG00000274588	139189	DGKK
ENSG00000181847	201633	TIGIT
ENSG00000236790	339788	LINC00298
ENSG00000162490	374946	DRAXIN
ENSG00000186827	7293	TNFRSF4
ENSG00000150687	11098	PRSS23
ENSG00000159674	10417	SPON2
ENSG00000180644	5551	PRF1
ENSG00000179348	2624	GATA2
ENSG00000198574	117157	SH2D1B
ENSG00000278196	28817	IGLV2-8
ENSG00000196586	4646	MYO6
ENSG00000150045	51348	KLRF1
ENSG00000074590	9891	NUAK1
ENSG00000173068	54796	BNC2
ENSG00000188001	285386	TPRG1
ENSG00000116667	81563	C1orf21
ENSG00000100097	3956	LGALS1
ENSG00000133687	83857	TMTC1
ENSG00000197747	6281	S100A10
ENSG00000125498	3802	KIR2DL1
ENSG00000153395	79888	LPCAT1
ENSG00000214652	442319	ZNF727
ENSG00000050030	340533	NEXMIF
ENSG00000167123	51148	CERCAM
ENSG00000100311	5155	PDGFB
ENSG00000105374	4818	NKG7
ENSG00000107317	5730	PTGDS
ENSG00000104450	6674	SPAG1
ENSG00000289485	101927369	LOC101927369
ENSG00000289126	NA	NA
ENSG00000169252	154	ADRB2
ENSG00000077984	8530	CST7
ENSG00000222041	112597	CYTOR
ENSG00000148488	338596	ST8SIA6
ENSG00000108370	8787	RGS9
ENSG00000139116	55605	KIF21A
ENSG00000075234	55020	TTC38
ENSG00000178573	4094	MAF
ENSG00000137843	56924	PAK6
ENSG00000168229	5729	PTGDR
ENSG00000013619	10046	MAMLD1
ENSG00000205336	9289	ADGRG1
